start_date,end_date,category,start,stop,miles,purpose,reject_reason
07-12-2016 19:21,07-12-2016 19:26,Personal,Kenner,Kenner,1.4,,Missing required fields
07-12-2016 23:47,7/13/2016 0:11,Personal,Morrisville,Cary,8.7,,Missing required fields
7/13/2016 12:39,7/13/2016 13:20,Personal,Cary,Morrisville,23.5,,Missing required fields
7/13/2016 13:25,7/13/2016 13:39,Personal,Morrisville,Morrisville,2.2,,Missing required fields
7/13/2016 13:42,7/13/2016 13:54,Personal,Morrisville,Cary,4.4,,Missing required fields
7/14/2016 15:51,7/14/2016 15:59,Personal,Cary,Morrisville,3.3,,Missing required fields
7/14/2016 16:39,7/14/2016 20:05,Business,Morrisville,Banner Elk,195.3,,Missing required fields
7/15/2016 11:32,7/15/2016 11:53,Personal,Banner Elk,Banner Elk,8.3,,Missing required fields
7/15/2016 12:09,7/15/2016 12:19,Personal,Banner Elk,Banner Elk,3.2,,Missing required fields
7/15/2016 12:35,7/15/2016 13:15,Personal,Banner Elk,Elk Park,22.4,,Missing required fields
7/15/2016 15:03,7/15/2016 15:33,Personal,Elk Park,Banner Elk,12.2,,Missing required fields
7/15/2016 15:40,7/15/2016 15:52,Personal,Banner Elk,Banner Elk,4.5,,Missing required fields
7/16/2016 13:14,7/16/2016 14:10,Personal,Banner Elk,Newland,28.1,,Missing required fields
7/16/2016 14:14,7/16/2016 14:30,Personal,Newland,Newland,3.8,,Missing required fields
7/16/2016 15:29,7/16/2016 16:57,Personal,Newland,Boone,41.9,,Missing required fields
7/16/2016 19:42,7/16/2016 20:35,Personal,Boone,Banner Elk,23.8,,Missing required fields
7/16/2016 21:45,7/16/2016 22:18,Personal,Banner Elk,Banner Elk,13.0,,Missing required fields
7/19/2016 17:50,7/19/2016 18:08,Personal,Chessington,Whitebridge,4.8,,Missing required fields
7/20/2016 17:12,7/20/2016 17:24,Personal,Whitebridge,Edgehill Farms,2.8,,Missing required fields
7/20/2016 17:50,7/20/2016 17:57,Personal,Edgehill Farms,Preston,1.4,,Missing required fields
7/20/2016 18:16,7/20/2016 18:20,Personal,Preston,Whitebridge,1.4,,Missing required fields
7/21/2016 17:17,7/21/2016 17:23,Business,Whitebridge,Edgehill Farms,2.7,,Missing required fields
7/21/2016 17:42,7/21/2016 17:51,Business,Edgehill Farms,Burtrose,2.3,,Missing required fields
7/21/2016 18:27,7/21/2016 18:42,Business,Cary,Morrisville,3.7,,Missing required fields
7/21/2016 19:30,7/21/2016 19:39,Business,Morrisville,Cary,2.9,,Missing required fields
7/22/2016 10:42,7/22/2016 10:53,Business,Cary,Morrisville,3.8,,Missing required fields
7/22/2016 11:11,7/22/2016 11:25,Business,Morrisville,Cary,5.1,,Missing required fields
7/22/2016 11:37,7/22/2016 12:00,Business,Hazelwood,Lexington Park at Amberly,9.1,,Missing required fields
7/22/2016 12:14,7/22/2016 12:31,Business,Cary,Durham,8.0,,Missing required fields
